"Time","EC"
2026-05-03 20:14:58,835.00 µS/cm
2026-05-03 20:15:02,845.00 µS/cm
2026-05-03 20:15:08,829.00 µS/cm
2026-05-03 20:15:14,836.00 µS/cm
2026-05-03 20:15:18,830.00 µS/cm
2026-05-03 20:15:24,835.00 µS/cm
2026-05-03 20:15:30,840.00 µS/cm
2026-05-03 20:15:34,846.00 µS/cm
2026-05-03 20:15:40,841.00 µS/cm
2026-05-03 20:15:46,845.00 µS/cm
2026-05-03 20:15:50,840.00 µS/cm
2026-05-03 20:15:56,846.00 µS/cm
2026-05-03 20:16:02,841.00 µS/cm
2026-05-03 20:16:06,841.00 µS/cm
2026-05-03 20:16:12,820.00 µS/cm
2026-05-03 20:16:16,820.00 µS/cm
2026-05-03 20:16:22,841.00 µS/cm
2026-05-03 20:16:28,830.00 µS/cm
2026-05-03 20:16:32,846.00 µS/cm
2026-05-03 20:16:38,835.00 µS/cm
2026-05-03 20:16:44,846.00 µS/cm
2026-05-03 20:16:48,809.00 µS/cm
2026-05-03 20:16:54,846.00 µS/cm
2026-05-03 20:17:00,846.00 µS/cm
2026-05-03 20:17:04,825.00 µS/cm
2026-05-03 20:17:10,836.00 µS/cm
2026-05-03 20:17:16,820.00 µS/cm
2026-05-03 20:17:20,841.00 µS/cm
2026-05-03 20:17:26,830.00 µS/cm
2026-05-03 20:17:32,841.00 µS/cm
2026-05-03 20:17:36,830.00 µS/cm
2026-05-03 20:17:42,857.00 µS/cm
2026-05-03 20:17:48,830.00 µS/cm
2026-05-03 20:17:52,814.00 µS/cm
2026-05-03 20:17:58,841.00 µS/cm
2026-05-03 20:18:02,830.00 µS/cm
2026-05-03 20:18:08,830.00 µS/cm
2026-05-03 20:18:14,846.00 µS/cm
2026-05-03 20:18:18,830.00 µS/cm
2026-05-03 20:18:24,840.00 µS/cm
2026-05-03 20:18:30,840.00 µS/cm
2026-05-03 20:18:34,836.00 µS/cm
2026-05-03 20:18:40,829.00 µS/cm
2026-05-03 20:18:46,846.00 µS/cm
2026-05-03 20:18:50,841.00 µS/cm
2026-05-03 20:18:56,846.00 µS/cm
2026-05-03 20:19:02,825.00 µS/cm
2026-05-03 20:19:06,820.00 µS/cm
2026-05-03 20:19:12,824.00 µS/cm
2026-05-03 20:19:18,841.00 µS/cm
2026-05-03 20:19:22,813.00 µS/cm
2026-05-03 20:19:28,846.00 µS/cm
2026-05-03 20:19:34,851.00 µS/cm
2026-05-03 20:19:38,851.00 µS/cm
2026-05-03 20:19:44,820.00 µS/cm
2026-05-03 20:19:50,830.00 µS/cm
2026-05-03 20:19:54,857.00 µS/cm
2026-05-03 20:20:00,836.00 µS/cm
2026-05-03 20:20:04,829.00 µS/cm
2026-05-03 20:20:10,836.00 µS/cm
2026-05-03 20:20:16,829.00 µS/cm
2026-05-03 20:20:20,830.00 µS/cm
2026-05-03 20:20:26,835.00 µS/cm
2026-05-03 20:20:32,836.00 µS/cm
2026-05-03 20:20:36,830.00 µS/cm
2026-05-03 20:20:42,836.00 µS/cm
2026-05-03 20:20:48,841.00 µS/cm
2026-05-03 20:20:52,825.00 µS/cm
2026-05-03 20:20:58,841.00 µS/cm
2026-05-03 20:21:04,846.00 µS/cm
2026-05-03 20:21:08,825.00 µS/cm
2026-05-03 20:21:14,851.00 µS/cm
2026-05-03 20:21:20,830.00 µS/cm
2026-05-03 20:21:24,841.00 µS/cm
2026-05-03 20:21:30,836.00 µS/cm
2026-05-03 20:21:34,830.00 µS/cm
2026-05-03 20:21:40,840.00 µS/cm
2026-05-03 20:21:46,820.00 µS/cm
2026-05-03 20:21:50,836.00 µS/cm
2026-05-03 20:21:56,835.00 µS/cm
2026-05-03 20:22:02,825.00 µS/cm
2026-05-03 20:22:06,830.00 µS/cm
2026-05-03 20:22:12,825.00 µS/cm
2026-05-03 20:22:18,846.00 µS/cm
2026-05-03 20:22:22,841.00 µS/cm
2026-05-03 20:22:28,841.00 µS/cm
2026-05-03 20:22:34,857.00 µS/cm
2026-05-03 20:22:38,846.00 µS/cm
2026-05-03 20:22:44,846.00 µS/cm
2026-05-03 20:22:50,836.00 µS/cm
2026-05-03 20:22:54,846.00 µS/cm
2026-05-03 20:23:00,836.00 µS/cm
2026-05-03 20:23:06,841.00 µS/cm
2026-05-03 20:23:10,851.00 µS/cm
2026-05-03 20:23:16,840.00 µS/cm
2026-05-03 20:23:22,846.00 µS/cm
2026-05-03 20:23:26,830.00 µS/cm
2026-05-03 20:23:32,836.00 µS/cm
2026-05-03 20:23:36,841.00 µS/cm
2026-05-03 20:23:42,835.00 µS/cm
2026-05-03 20:23:48,846.00 µS/cm
2026-05-03 20:23:52,836.00 µS/cm
2026-05-03 20:23:58,829.00 µS/cm
2026-05-03 20:24:04,845.00 µS/cm
2026-05-03 20:24:08,825.00 µS/cm
2026-05-03 20:24:14,836.00 µS/cm
2026-05-03 20:24:20,825.00 µS/cm
2026-05-03 20:24:24,836.00 µS/cm
2026-05-03 20:24:30,836.00 µS/cm
2026-05-03 20:24:36,829.00 µS/cm
2026-05-03 20:24:40,840.00 µS/cm
2026-05-03 20:24:46,829.00 µS/cm
2026-05-03 20:24:52,825.00 µS/cm
2026-05-03 20:24:56,836.00 µS/cm
2026-05-03 20:25:02,841.00 µS/cm
2026-05-03 20:25:08,840.00 µS/cm
2026-05-03 20:25:12,836.00 µS/cm
2026-05-03 20:25:18,841.00 µS/cm
2026-05-03 20:25:22,841.00 µS/cm
2026-05-03 20:25:28,830.00 µS/cm
2026-05-03 20:25:34,845.00 µS/cm
2026-05-03 20:25:38,840.00 µS/cm
2026-05-03 20:25:44,845.00 µS/cm
2026-05-03 20:25:50,841.00 µS/cm
2026-05-03 20:25:54,829.00 µS/cm
2026-05-03 20:26:00,836.00 µS/cm
2026-05-03 20:26:06,835.00 µS/cm
2026-05-03 20:26:10,830.00 µS/cm
2026-05-03 20:26:16,830.00 µS/cm
2026-05-03 20:26:22,841.00 µS/cm
2026-05-03 20:26:26,836.00 µS/cm
2026-05-03 20:26:32,857.00 µS/cm
2026-05-03 20:26:38,841.00 µS/cm
2026-05-03 20:26:42,830.00 µS/cm
2026-05-03 20:26:48,841.00 µS/cm
2026-05-03 20:26:52,851.00 µS/cm
2026-05-03 20:26:58,841.00 µS/cm
2026-05-03 20:27:04,830.00 µS/cm
2026-05-03 20:27:08,846.00 µS/cm
2026-05-03 20:27:14,1185.00 µS/cm
2026-05-03 20:27:20,1174.00 µS/cm
2026-05-03 20:27:26,1148.00 µS/cm
2026-05-03 20:27:30,1173.00 µS/cm
2026-05-03 20:27:36,1169.00 µS/cm
2026-05-03 20:27:40,1158.00 µS/cm
2026-05-03 20:27:46,1132.00 µS/cm
2026-05-03 20:27:52,1163.00 µS/cm
2026-05-03 20:27:56,1163.00 µS/cm
2026-05-03 20:28:02,1163.00 µS/cm
2026-05-03 20:28:08,1141.00 µS/cm
2026-05-03 20:28:12,1137.00 µS/cm
2026-05-03 20:28:18,1169.00 µS/cm
2026-05-03 20:28:24,1132.00 µS/cm
2026-05-03 20:28:28,1163.00 µS/cm
2026-05-03 20:28:34,1132.00 µS/cm
2026-05-03 20:28:40,1153.00 µS/cm
2026-05-03 20:28:44,1157.00 µS/cm
2026-05-03 20:28:50,1178.00 µS/cm
2026-05-03 20:28:54,1148.00 µS/cm
2026-05-03 20:29:00,1137.00 µS/cm
2026-05-03 20:29:06,1137.00 µS/cm
2026-05-03 20:29:10,1163.00 µS/cm
2026-05-03 20:29:16,1141.00 µS/cm
2026-05-03 20:29:22,1157.00 µS/cm
2026-05-03 20:29:26,1148.00 µS/cm
2026-05-03 20:29:32,1146.00 µS/cm
2026-05-03 20:29:38,1163.00 µS/cm
2026-05-03 20:29:42,1137.00 µS/cm
2026-05-03 20:29:48,1142.00 µS/cm
2026-05-03 20:29:54,1153.00 µS/cm
2026-05-03 20:29:58,1137.00 µS/cm
2026-05-03 20:30:04,1137.00 µS/cm
2026-05-03 20:30:10,1148.00 µS/cm
2026-05-03 20:30:14,1153.00 µS/cm
2026-05-03 20:30:20,1158.00 µS/cm
2026-05-03 20:30:26,1137.00 µS/cm
2026-05-03 20:30:30,1137.00 µS/cm
2026-05-03 20:30:36,1137.00 µS/cm
2026-05-03 20:30:40,1142.00 µS/cm
2026-05-03 20:30:46,1130.00 µS/cm
2026-05-03 20:30:52,1142.00 µS/cm
2026-05-03 20:30:56,1153.00 µS/cm
2026-05-03 20:31:02,1148.00 µS/cm
2026-05-03 20:31:08,1142.00 µS/cm
2026-05-03 20:31:12,1142.00 µS/cm
2026-05-03 20:31:18,1142.00 µS/cm
2026-05-03 20:31:24,1158.00 µS/cm
2026-05-03 20:31:28,1121.00 µS/cm
2026-05-03 20:31:34,1137.00 µS/cm
2026-05-03 20:31:40,1148.00 µS/cm
2026-05-03 20:31:44,1146.00 µS/cm
2026-05-03 20:31:50,1121.00 µS/cm
2026-05-03 20:31:56,1153.00 µS/cm
2026-05-03 20:32:00,1146.00 µS/cm
2026-05-03 20:32:06,1132.00 µS/cm
2026-05-03 20:32:12,1153.00 µS/cm
2026-05-03 20:32:16,1148.00 µS/cm
2026-05-03 20:32:22,1148.00 µS/cm
2026-05-03 20:32:26,1146.00 µS/cm
2026-05-03 20:32:32,1141.00 µS/cm
2026-05-03 20:32:38,1142.00 µS/cm
2026-05-03 20:32:42,1136.00 µS/cm
2026-05-03 20:32:48,1132.00 µS/cm
2026-05-03 20:32:54,1142.00 µS/cm
2026-05-03 20:32:58,1121.00 µS/cm
2026-05-03 20:33:04,1148.00 µS/cm
2026-05-03 20:33:10,1153.00 µS/cm
2026-05-03 20:33:14,1125.00 µS/cm
2026-05-03 20:33:20,1125.00 µS/cm
2026-05-03 20:33:26,1142.00 µS/cm
2026-05-03 20:33:30,1137.00 µS/cm
2026-05-03 20:33:36,1126.00 µS/cm
2026-05-03 20:33:42,1110.00 µS/cm
2026-05-03 20:33:46,1142.00 µS/cm
2026-05-03 20:33:52,1142.00 µS/cm
2026-05-03 20:33:58,1137.00 µS/cm
2026-05-03 20:34:02,1142.00 µS/cm
2026-05-03 20:34:08,1132.00 µS/cm
2026-05-03 20:34:12,1158.00 µS/cm
2026-05-03 20:34:18,1148.00 µS/cm
2026-05-03 20:34:24,1125.00 µS/cm
2026-05-03 20:34:28,1136.00 µS/cm
2026-05-03 20:34:34,1153.00 µS/cm
2026-05-03 20:34:40,1142.00 µS/cm
2026-05-03 20:34:44,1116.00 µS/cm
2026-05-03 20:34:50,1148.00 µS/cm
2026-05-03 20:34:56,1132.00 µS/cm
2026-05-03 20:35:00,1153.00 µS/cm
2026-05-03 20:35:06,1130.00 µS/cm
2026-05-03 20:35:12,1142.00 µS/cm
2026-05-03 20:35:16,1137.00 µS/cm
2026-05-03 20:35:22,1146.00 µS/cm
2026-05-03 20:35:28,1121.00 µS/cm
2026-05-03 20:35:32,1148.00 µS/cm
2026-05-03 20:35:38,1142.00 µS/cm
2026-05-03 20:35:44,1136.00 µS/cm
2026-05-03 20:35:48,1136.00 µS/cm
2026-05-03 20:35:54,1142.00 µS/cm
2026-05-03 20:35:58,1126.00 µS/cm
2026-05-03 20:36:04,1132.00 µS/cm
2026-05-03 20:36:10,1142.00 µS/cm
2026-05-03 20:36:14,1116.00 µS/cm
2026-05-03 20:36:20,1136.00 µS/cm
2026-05-03 20:36:26,1153.00 µS/cm
2026-05-03 20:36:30,1148.00 µS/cm
2026-05-03 20:36:36,1137.00 µS/cm
2026-05-03 20:36:42,1132.00 µS/cm
2026-05-03 20:36:46,1130.00 µS/cm
2026-05-03 20:36:52,1148.00 µS/cm
2026-05-03 20:36:58,1141.00 µS/cm
2026-05-03 20:37:02,1158.00 µS/cm
2026-05-03 20:37:08,1120.00 µS/cm
2026-05-03 20:37:14,1126.00 µS/cm
2026-05-03 20:37:18,1148.00 µS/cm
2026-05-03 20:37:24,1130.00 µS/cm
2026-05-03 20:37:30,1136.00 µS/cm
2026-05-03 20:37:34,1146.00 µS/cm
2026-05-03 20:37:40,1142.00 µS/cm
2026-05-03 20:37:44,1130.00 µS/cm
2026-05-03 20:37:50,1125.00 µS/cm
2026-05-03 20:37:56,1141.00 µS/cm
2026-05-03 20:38:02,1121.00 µS/cm
2026-05-03 20:38:06,1142.00 µS/cm
2026-05-03 20:38:12,1141.00 µS/cm
2026-05-03 20:38:16,1130.00 µS/cm
2026-05-03 20:38:22,1153.00 µS/cm
2026-05-03 20:38:28,1120.00 µS/cm
2026-05-03 20:38:32,1136.00 µS/cm
2026-05-03 20:38:38,1148.00 µS/cm
2026-05-03 20:38:44,1142.00 µS/cm
2026-05-03 20:38:48,1125.00 µS/cm
2026-05-03 20:38:54,1132.00 µS/cm
2026-05-03 20:39:00,1130.00 µS/cm
2026-05-03 20:39:04,1132.00 µS/cm
2026-05-03 20:39:10,1136.00 µS/cm
2026-05-03 20:39:16,1158.00 µS/cm
2026-05-03 20:39:20,1125.00 µS/cm
2026-05-03 20:39:26,1148.00 µS/cm
2026-05-03 20:39:30,1136.00 µS/cm
2026-05-03 20:39:36,1142.00 µS/cm
2026-05-03 20:39:42,1120.00 µS/cm
2026-05-03 20:39:46,1125.00 µS/cm
2026-05-03 20:39:52,1120.00 µS/cm
2026-05-03 20:39:58,1115.00 µS/cm
2026-05-03 20:40:02,1137.00 µS/cm
2026-05-03 20:40:08,1120.00 µS/cm
2026-05-03 20:40:14,1125.00 µS/cm
2026-05-03 20:40:18,1125.00 µS/cm
2026-05-03 20:40:24,1120.00 µS/cm
2026-05-03 20:40:30,1136.00 µS/cm
2026-05-03 20:40:34,1120.00 µS/cm
2026-05-03 20:40:40,1146.00 µS/cm
2026-05-03 20:40:46,1125.00 µS/cm
2026-05-03 20:40:50,1136.00 µS/cm
2026-05-03 20:40:56,1136.00 µS/cm
2026-05-03 20:41:02,1136.00 µS/cm
2026-05-03 20:41:06,1136.00 µS/cm
2026-05-03 20:41:12,1136.00 µS/cm
2026-05-03 20:41:16,1136.00 µS/cm
2026-05-03 20:41:22,1130.00 µS/cm
2026-05-03 20:41:28,1136.00 µS/cm
2026-05-03 20:41:34,1130.00 µS/cm
2026-05-03 20:41:38,1120.00 µS/cm
2026-05-03 20:41:44,1130.00 µS/cm
2026-05-03 20:41:48,1120.00 µS/cm
2026-05-03 20:41:54,1136.00 µS/cm
2026-05-03 20:42:00,1120.00 µS/cm
2026-05-03 20:42:04,1130.00 µS/cm
2026-05-03 20:42:10,1109.00 µS/cm
2026-05-03 20:42:16,1146.00 µS/cm
2026-05-03 20:42:20,1130.00 µS/cm
2026-05-03 20:42:26,1146.00 µS/cm
2026-05-03 20:42:32,1130.00 µS/cm
2026-05-03 20:42:36,1136.00 µS/cm
2026-05-03 20:42:42,1125.00 µS/cm
2026-05-03 20:42:48,1136.00 µS/cm
2026-05-03 20:42:52,1104.00 µS/cm
2026-05-03 20:42:58,1130.00 µS/cm
2026-05-03 20:43:02,1142.00 µS/cm
2026-05-03 20:43:08,1115.00 µS/cm
2026-05-03 20:43:14,1130.00 µS/cm
2026-05-03 20:43:20,1141.00 µS/cm
2026-05-03 20:43:24,1136.00 µS/cm
2026-05-03 20:43:30,1125.00 µS/cm
2026-05-03 20:43:34,1115.00 µS/cm
2026-05-03 20:43:40,1125.00 µS/cm
2026-05-03 20:43:46,1130.00 µS/cm
2026-05-03 20:43:50,1120.00 µS/cm
2026-05-03 20:43:56,1125.00 µS/cm
2026-05-03 20:44:02,1130.00 µS/cm
2026-05-03 20:44:06,1125.00 µS/cm
2026-05-03 20:44:12,1136.00 µS/cm
2026-05-03 20:44:18,1125.00 µS/cm
2026-05-03 20:44:22,1132.00 µS/cm
2026-05-03 20:44:28,1104.00 µS/cm
2026-05-03 20:44:34,1125.00 µS/cm
2026-05-03 20:44:38,1130.00 µS/cm
2026-05-03 20:44:44,1137.00 µS/cm
2026-05-03 20:44:48,1125.00 µS/cm
2026-05-03 20:44:54,1132.00 µS/cm
2026-05-03 20:45:00,1132.00 µS/cm
2026-05-03 20:45:04,1132.00 µS/cm
2026-05-03 20:45:10,1126.00 µS/cm
2026-05-03 20:45:16,1130.00 µS/cm
2026-05-03 20:45:20,1120.00 µS/cm