"Time","Temperature"
2026-04-08 10:02:40,25
2026-04-08 10:02:43,25
2026-04-08 10:02:49,25
2026-04-08 10:03:15,25
2026-04-08 10:03:18,25
2026-04-08 10:04:09,25
2026-04-08 10:05:29,25
2026-04-08 10:07:08,25
2026-04-08 10:07:13,25
2026-04-08 10:07:25,25
2026-04-08 10:07:28,25
2026-04-08 10:07:33,25
2026-04-08 10:07:44,25
2026-04-08 10:08:10,25
2026-04-08 10:08:33,25
2026-04-08 10:08:33,25
2026-04-08 10:08:38,25
2026-04-08 10:08:43,25
2026-04-08 10:08:48,25
2026-04-08 10:08:54,25
2026-04-08 10:09:08,25
2026-04-08 10:09:13,25
2026-04-08 10:09:18,25
2026-04-08 10:09:23,25
2026-04-08 10:09:28,25
2026-04-08 10:09:33,25
2026-04-08 10:10:08,25
2026-04-08 10:11:45,25
2026-04-08 10:11:53,25
2026-04-08 10:11:53,25
2026-04-08 10:11:58,25
2026-04-08 10:16:23,25
2026-04-08 10:16:28,25
2026-04-08 10:16:34,25
2026-04-08 10:16:38,25
2026-04-08 10:16:43,25
2026-04-08 10:16:48,25
2026-04-08 10:16:53,25
2026-04-08 10:16:58,25
2026-04-08 10:17:03,25
2026-04-08 10:17:08,25
2026-04-08 10:17:13,25
2026-04-08 10:17:18,25
2026-04-08 10:17:23,25
2026-04-08 10:17:28,25