"Time","pH"
2026-04-08 10:23:58,9.01
2026-04-08 10:24:03,8.66
2026-04-08 10:24:08,7.24
2026-04-08 10:24:13,8.89
2026-04-08 10:24:18,7.52
2026-04-08 10:24:23,8.77
2026-04-08 10:24:28,8.73
2026-04-08 10:24:33,7.75
2026-04-08 10:24:38,5.72
2026-04-08 10:24:43,8.10
2026-04-08 10:24:48,8.53
2026-04-08 10:24:53,8.98
2026-04-08 10:24:58,9.02
2026-04-08 10:25:03,5.71
2026-04-08 10:25:08,8.83
2026-04-08 10:25:13,5.77
2026-04-08 10:25:18,9.01
2026-04-08 10:25:23,5.87
2026-04-08 10:25:28,5.82
2026-04-08 10:25:33,6.22
2026-04-08 10:25:38,5.58
2026-04-08 10:25:43,6.07
2026-04-08 10:25:48,9.03
2026-04-08 10:25:53,5.82
2026-04-08 10:25:58,5.67
2026-04-08 10:26:03,8.67
2026-04-08 10:26:08,8.43
2026-04-08 10:26:13,7.68
2026-04-08 10:26:18,5.91
2026-04-08 10:26:23,5.85
2026-04-08 10:26:28,5.76
2026-04-08 10:26:33,7.80
2026-04-08 10:26:38,8.70
2026-04-08 10:26:43,5.79
2026-04-08 10:26:48,5.67
2026-04-08 10:26:53,7.64
2026-04-08 10:26:58,5.88
2026-04-08 10:27:03,7.42
2026-04-08 10:27:08,5.76
2026-04-08 10:27:13,8.27
2026-04-08 10:27:18,8.45
2026-04-08 10:27:23,5.76
2026-04-08 10:27:28,5.64
2026-04-08 10:27:34,5.81
2026-04-08 10:27:39,7.46
2026-04-08 10:27:44,5.78
2026-04-08 10:27:49,7.68
2026-04-08 10:27:54,5.79
2026-04-08 10:27:59,5.61
2026-04-08 10:28:04,8.13
2026-04-08 10:28:09,5.94
2026-04-08 10:28:14,8.96
2026-04-08 10:28:19,7.30
2026-04-08 10:28:24,5.91
2026-04-08 10:28:29,5.85
2026-04-08 10:28:34,5.90
2026-04-08 10:28:39,7.84
2026-04-08 10:28:44,5.69